Group,server
ETA-BE-APP.ETA-BE-APP-PROD-ED1-101,app101.eta.prod.ed1
ETA-BE-APP.ETA-BE-APP-PROD-ED1-101,app102.eta.prod.ed1
ETA-BE-APP.ETA-BE-APP-PROD-ED1-101,app103.eta.prod.ed1
ETA-BE-APP.ETA-BE-APP-PROD-ED1-101,app104.eta.prod.ed1
ETA-BE-APP.ETA-BE-APP-PROD-ED1-101,app105.eta.prod.ed1
ETA-BE-APP.ETA-BE-APP-PROD-ED1-101,app106.eta.prod.ed1
ETA-BE-APP.ETA-BE-APP-PROD-ED1-101,app107.eta.prod.ed1
ETA-BE-APP.ETA-BE-APP-PROD-ED1-101,app108.eta.prod.ed1
ETA-BE-APP.ETA-BE-APP-PROD-ED1-101,app109.eta.prod.ed1
ETA-BE-APP.ETA-BE-APP-PROD-ED1-101,app110.eta.prod.ed1
ETA-BE-APP.ETA-BE-APP-PROD-ED1-101,app111.eta.prod.ed1
ETA-BE-APP.ETA-BE-APP-PROD-ED1-101,app112.eta.prod.ed1
ETA-BE-APP.ETA-BE-APP-PROD-ED5-101,app101.eta.prod.ed5
ETA-BE-APP.ETA-BE-APP-PROD-ED5-101,app102.eta.prod.ed5
ETA-BE-APP.ETA-BE-APP-PROD-ED5-101,app103.eta.prod.ed5
ETA-BE-APP.ETA-BE-APP-PROD-ED5-101,app104.eta.prod.ed5
ETA-BE-CUSTOM.ETA-BE-CUSTOM-PROD-ED1-101,custom101.eta.prod.ed1
ETA-BE-CUSTOM.ETA-BE-CUSTOM-PROD-ED1-101,custom102.eta.prod.ed1
ETA-BE-CUSTOM.ETA-BE-CUSTOM-PROD-ED5-101,custom101.eta.prod.ed5
ETA-BE-CUSTOM.ETA-BE-CUSTOM-PROD-ED5-101,custom102.eta.prod.ed5
ETA-DB.ETA-DB-PROD-ED1-101,db101.eta.prod.ed1
ETA-DB.ETA-DB-PROD-ED1-101,db102.eta.prod.ed1
ETA-DB.ETA-DB-PROD-ED5-101,db101.eta.prod.ed5
ETA-DB.ETA-DB-PROD-ED5-101,db102.eta.prod.ed5
ETA-FE.ETA-FE-PROD-ED1-101,web101.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web102.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web103.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web104.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web105.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web106.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web107.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web108.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web109.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web110.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web111.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web112.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web113.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web114.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web115.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web116.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web117.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web118.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED1-101,web119.eta.prod.ed1
ETA-FE.ETA-FE-PROD-ED5-101,web101.eta.prod.ed5
ETA-FE.ETA-FE-PROD-ED5-101,web102.eta.prod.ed5
ETA-FE.ETA-FE-PROD-ED5-101,web103.eta.prod.ed5
ETA-FE.ETA-FE-PROD-ED5-101,web104.eta.prod.ed5
ETA-FE.ETA-FE-PROD-ED5-101,web105.eta.prod.ed5
ETA-FE.ETA-FE-PROD-ED5-101,web106.eta.prod.ed5
ETA-FE.ETA-FE-PROD-ED5-101,web107.eta.prod.ed5
ETA-FE.ETA-FE-PROD-ED5-101,web108.eta.prod.ed5
ETA-FE-SERVICES.ETA-FE-SERVICES-PROD-ED1-101,services101.eta.prod.ed1
ETA-FE-SERVICES.ETA-FE-SERVICES-PROD-ED1-101,services102.eta.prod.ed1
ETA-FE-SERVICES.ETA-FE-SERVICES-PROD-ED1-101,services103.eta.prod.ed1
ETA-FE-SERVICES.ETA-FE-SERVICES-PROD-ED1-101,services104.eta.prod.ed1
ETA-FE-SERVICES.ETA-FE-SERVICES-PROD-ED1-101,services105.eta.prod.ed1
ETA-FE-SERVICES.ETA-FE-SERVICES-PROD-ED5-101,services101.eta.prod.ed5
ETA-FE-SERVICES.ETA-FE-SERVICES-PROD-ED5-101,services102.eta.prod.ed5
ETA-FE-SERVICES.ETA-FE-SERVICES-PROD-ED5-101,services103.eta.prod.ed5
ETA-FE-SERVICES.ETA-FE-SERVICES-PROD-ED5-101,services104.eta.prod.ed5
ETA-FS.ETA-FS-PROD-ED1-101,fs101.eta.prod.ed1
ETA-FS.ETA-FS-PROD-ED1-101,fs102.eta.prod.ed1
ETA-FS.ETA-FS-PROD-ED5-101,fs101.eta.prod.ed5
ETA-FS.ETA-FS-PROD-ED5-101,fs102.eta.prod.ed5
ETA-HA.ETA-HA-PROD-ED1-101,ha101.eta.prod.ed1
ETA-HA.ETA-HA-PROD-ED1-101,ha102.eta.prod.ed1
ETA-HA.ETA-HA-PROD-ED5-101,ha101.eta.prod.ed5
ETA-HA.ETA-HA-PROD-ED5-101,ha102.eta.prod.ed5
ETA-RED-HISTORY.ETA-RED-HISTORY-PROD-ED1-101,red101.eta.prod.ed1
ETA-RED-HISTORY.ETA-RED-HISTORY-PROD-ED1-101,red102.eta.prod.ed1
ETA-RED-HISTORY.ETA-RED-HISTORY-PROD-ED1-101,red103.eta.prod.ed1
ETA-RED-HISTORY.ETA-RED-HISTORY-PROD-ED5-101,red101.eta.prod.ed5
ETA-RED-HISTORY.ETA-RED-HISTORY-PROD-ED5-101,red102.eta.prod.ed5
ETA-RED-HISTORY.ETA-RED-HISTORY-PROD-ED5-101,red103.eta.prod.ed5
ETA-RED-SESSION.ETA-RED-SESSION-PROD-ED1-101,red104.eta.prod.ed1
ETA-RED-SESSION.ETA-RED-SESSION-PROD-ED1-101,red105.eta.prod.ed1
ETA-RED-SESSION.ETA-RED-SESSION-PROD-ED1-101,red106.eta.prod.ed1
ETA-RED-SESSION.ETA-RED-SESSION-PROD-ED5-101,red104.eta.prod.ed5
ETA-RED-SESSION.ETA-RED-SESSION-PROD-ED5-101,red105.eta.prod.ed5
ETA-RED-SESSION.ETA-RED-SESSION-PROD-ED5-101,red106.eta.prod.ed5
ETA-ST.ETA-ST-PROD-ED1-101,st101.eta.prod.ed1
ETA-ST.ETA-ST-PROD-ED1-101,st102.eta.prod.ed1
ETA-ST.ETA-ST-PROD-ED5-101,st101.eta.prod.ed5
ETA-ST.ETA-ST-PROD-ED5-101,st102.eta.prod.ed5
ETAWF-BE.ETAWF-BE-PROD-ED1-101,be101.etawf.prod.ed1
ETAWF-BE.ETAWF-BE-PROD-ED1-101,be102.etawf.prod.ed1
ETAWF-BE.ETAWF-BE-PROD-ED5-101,be101.etawf.prod.ed5
ETAWF-BE.ETAWF-BE-PROD-ED5-101,be102.etawf.prod.ed5
